versão=17 COD_CEST, DESC_CEST, DT_INI, DT_FIM
0100100|Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores|01012018|31082023
0100100|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100200|Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos|01012018|31082023
0100200|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100300|Protetores de caçamba|01012018|31082023
0100300|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100400|Reservatórios de óleo|01012018|31082023
0100400|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100500|Frisos, decalques, molduras e acabamentos|01012018|31082023
0100500|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100600|Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias|01012018|31082023
0100600|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100700|Juntas, gaxetas e outros elementos com função semelhante de vedação|01012018|31082023
0100700|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100800|Partes de veículos automóveis, tratores e máquinas autopropulsadas|01012018|31082023
0100800|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0100900|Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins|01012018|31082023
0100900|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101000|Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico|01012018|31082023
0101000|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101100|Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias|01012018|31082023
0101100|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101200|Encerados e toldos|01012018|31082023
0101200|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101300|Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores|01012018|31082023
0101300|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101400|Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias|01012018|31082023
0101400|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101500|Vidros de dimensões e formatos que permitam aplicação automotiva|01012018|31082023
0101500|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101600|Espelhos retrovisores|01012018|31082023
0101600|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101700|Lentes de faróis, lanternas e outros utensílios|01012018|31082023
0101700|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101800|Cilindro de aço para GNV (gás natural veicular)|01012018|31082023
0101800|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0101900|Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0|01012018|31082023
0101900|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102000|Molas e folhas de molas, de ferro ou aço|01012018|31082023
0102000|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102100|Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00|01012018|31082023
0102100|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102200|Peso de chumbo para balanceamento de roda|01012018|31082023
0102200|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102300|Peso para balanceamento de roda e outros utensílios de estanho|01012018|31082023
0102300|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102400|Fechaduras e partes de fechaduras|01012018|31082023
0102400|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102500|Chaves apresentadas isoladamente|01012018|31082023
0102500|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102600|Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns|01012018|31082023
0102600|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
0102700|Triângulo de segurança|01012018|31082023
0102700|Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18|01092023|
